Date,BTC-USD,CSPX.L,BNO,AMZN
2014-09-17,457.3340148925781,181.8300018310547,39.380001068115234,324.0
2014-09-18,424.44000244140625,182.8699951171875,38.93000030517578,325.0
2014-09-19,394.7959899902344,183.27499389648438,39.18000030517578,331.32000732421875
2014-09-22,402.1520080566406,181.72999572753906,38.63999938964844,324.5
2014-09-23,435.7909851074219,181.13999938964844,38.61000061035156,323.6300048828125
2014-09-24,423.2049865722656,181.2100067138672,38.709999084472656,328.2099914550781
2014-09-25,411.5740051269531,179.78500366210938,38.709999084472656,321.92999267578125
2014-09-26,404.42498779296875,179.25,38.65999984741211,323.2099914550781
2014-09-29,375.4670104980469,180.00999450683594,38.70000076293945,321.82000732421875
2014-09-30,386.9440002441406,180.64999389648438,37.79999923706055,322.44000244140625
2014-10-01,383.614990234375,178.16000366210938,37.560001373291016,317.4599914550781
2014-10-02,375.0719909667969,176.02999877929688,37.279998779296875,318.4100036621094
2014-10-03,359.5119934082031,178.83999633789062,36.70000076293945,322.739990234375
2014-10-06,330.0790100097656,179.2899932861328,37.02000045776367,322.20001220703125
2014-10-07,336.18701171875,177.5,36.63999938964844,316.9800109863281
2014-10-08,352.94000244140625,176.25999450683594,36.47999954223633,322.70001220703125
2014-10-09,365.0260009765625,178.07000732421875,35.619998931884766,315.3699951171875
2014-10-10,361.56201171875,174.80999755859375,35.75,311.3900146484375
2014-10-13,390.41400146484375,173.08999633789062,35.119998931884766,306.45001220703125
2014-10-14,400.8699951171875,172.19000244140625,33.7599983215332,308.30999755859375
2014-10-15,394.77301025390625,168.30999755859375,33.310001373291016,305.9700012207031
2014-10-16,382.5559997558594,169.75,33.93000030517578,302.8599853515625
2014-10-17,383.75799560546875,172.4550018310547,34.16999816894531,303.6400146484375
2014-10-20,382.8450012207031,172.49000549316406,33.779998779296875,306.2099914550781
2014-10-21,386.4750061035156,175.7899932861328,34.16999816894531,315.3299865722656
2014-10-22,383.1579895019531,177.38999938964844,33.529998779296875,312.9700012207031
2014-10-23,358.4169921875,177.97999572753906,34.369998931884766,313.17999267578125
2014-10-24,358.3450012207031,178.2100067138672,34.16999816894531,287.05999755859375
2014-10-27,352.989013671875,178.39999389648438,33.810001373291016,289.9700012207031
2014-10-28,357.6180114746094,179.72000122070312,34.029998779296875,295.5899963378906
2014-10-29,335.59100341796875,180.47000122070312,34.54999923706055,294.1199951171875
2014-10-30,345.30499267578125,181.11500549316406,34.06999969482422,299.07000732421875
2014-10-31,338.3210144042969,183.49000549316406,34.06999969482422,305.4599914550781
2014-11-03,327.5539855957031,183.84500122070312,33.349998474121094,305.7200012207031
2014-11-04,330.49200439453125,182.67999267578125,32.720001220703125,302.80999755859375
2014-11-05,339.4859924316406,184.01499938964844,33.0099983215332,296.5199890136719
2014-11-06,349.2900085449219,184.7899932861328,32.79999923706055,296.6400146484375
2014-11-07,342.4150085449219,185.4499969482422,32.90999984741211,299.8599853515625
2014-11-10,366.92401123046875,185.72500610351562,32.56999969482422,305.1099853515625
2014-11-11,367.69500732421875,185.96499633789062,32.20000076293945,312.010009765625
2014-11-12,423.5610046386719,185.91000366210938,31.739999771118164,311.510009765625
2014-11-13,420.7349853515625,186.0749969482422,30.639999389648438,316.4800109863281
2014-11-14,397.8179931640625,186.02999877929688,31.34000015258789,327.82000732421875
2014-11-17,387.4079895019531,185.65499877929688,31.149999618530273,323.04998779296875
2014-11-18,375.197998046875,186.89500427246094,30.860000610351562,324.92999267578125
2014-11-19,380.55499267578125,186.38999938964844,30.729999542236328,326.5400085449219
2014-11-20,357.8399963378906,187.30999755859375,31.18000030517578,330.5400085449219
2014-11-21,350.8479919433594,188.57000732421875,31.690000534057617,332.6300048828125
2014-11-24,376.9010009765625,188.57000732421875,31.329999923706055,335.6400146484375
2014-11-25,375.3479919433594,188.46499633789062,30.719999313354492,335.0400085449219
2014-11-26,368.3699951171875,188.80999755859375,30.5,333.57000732421875
